title,author,publication_year
Irish Tales of Terror: Twenty-Two Bewitching Tales of Irish Mystery and Magic,Peter Haining,1988
Fielding's the World's Most Dangerous Places (Fieldings the Worlds Most Dangerous Places),Robert Young Pelton,1997
A Kiss in the Dark (A Regency Romance),Joan Smith,1995
The Tinkling Symbol (Asey Mayo Cape Cod Mystery),Phoebe Atwood Taylor,1993
Domnei,James Branch Cabell,1979
All-In-One Low Fat Counter,Jean Carper,1980
The Case of the 2nd Seance: A John Darnell Mystery (John Darnell Mystery Number 3),Sam McCarver,2000
The Silver Stallion: A Comedy of Redemption,James Branch Cabell,1979
Pooh and the Millenium,John Williams,1997
In Celebration of Spring: A Book of Seasonal Indulgences,Helen Thompson,1998
Harry's Game,Gerald Seymour,1987
The Loved Dead: And Other Revisions,H. P. Lovecraft,1997
COMBAT CREW,John Comer,1989
The Cunningham Equations,G.C. Edmondson,1986
Swarm,Arthur Herzog,1978
Every Man for Himself,Beryl Bainbridge,1997
"Volpone, Or, the Fox (Crofts Classics)",Ben Jonson,1987
Meaning and Action,Thayer,1981
The Road Home,Eliza Thomas,1998
The Magic of Uri Geller,James Randi,1975
Thunder on the Right,Mary Stewart,1958
Nightfall,David Goodis,1987
To My Husband and Other Poems (Dover Thrift Editions),Anne Bradstreet,2000
The Absent-Minded Professor's Memory Book,MICHELE B. SLUNG,1985
The Human Factor (Everyman's Library),GRAHAM GREENE,1992
The Last Plantagenets,Thomas B. Costain,1994
Loose Cannons: Devastating Dish from the World's Wildest Women,Autumn Stephens,1998
Istanbul/Tales of the City (Istanbul),John Miller,1995
Unknown Shore: The Lost History of England's Arctic Colony,Robert Ruby,2001
Serious Pleasures: The Life of Stephen Tennant,Philip Hoare,1992
TEA THAT BURNS : A Family Memoir of Chinatown,Bruce Hall,1998
The Unburied,Charles Palliser,2000
The Stories of William Trevor,William Trevor,1988
Encyclopedia Brown Carries on (Encyclopedia Brown (Paperback)),Donald J. Sobol,1986
Absent in the Spring,Agatha Christie,1987
The Berenstain Bears and the Sitter (Berenstain Bears First Time Chapter Books (Paperback)),STAN BERENSTAIN,1981
Last Days,Joyce Carol Oates,1986
In the House of Memory: Ancient Celtic Wisdom for Everyday Life,Steve Rabey,1999
Luncheon at the Cafe Ridiculous,Alice Kahn,1990
Murder for Mother,Martin H. Greenberg,1994
Murder for Father,Martin H. Greenberg,1994
P.I. Files,Martin H. Greenberg,1990
"Junie B. Jones Loves Handsome Warren (Junie B. Jones 7, paper)",Barbara Park,1996
Produced and Abandoned: The Best Films You'Ve Never Seen,Mike Sragow,1990
The Hook,Donald E. Westlake,2000
Mimi Pond's Secrets of the powder room,Mimi Pond,1983
Dancing with the Witchdoctor : One Woman's Stories of Mystery and Adventure in Africa,Kelly James,2002
Touching My Father's Soul: A Sherpa's Journey to the Top of Everest,Jamling T. Norgay,2002
The Cricket on the Hearth and Other Christmas Stories (Dover Thrift Editions),Charles Dickens,1994
"Fugitive Father (Silhouette Intimate Moments, No 604)",Carla Cassidy,1994
Songs for the Open Road : Poems of Travel and Adventure (Dover Thrift Editions),The American Poetry &amp; Literacy Project,1999
"Winter Soldier (Soldiers Of Fortune) (Silhouette Desire, No 1351)",Diana Palmer,2001
The Adventure of the Dancing Men and Other Sherlock Holmes Stories (Dover Thrift Editions),Sir Arthur Conan Doyle,1997
"Lonely Planet Barcelona (Barcelona, 2nd ed)",Damien Simonis,2001
Wired,Martha R. Carr,1993
Green Tea and Other Ghost Stories (Dover Thrift Editions),Joseph Sheridan Le Fanu,1993
Irish Verse an Anthology: An Anthology (Dover Thrift Editions),Robert Blaisdell,2001
Easter 1916 and Other Poems (Dover Thrift Editions),W. B. Yeats,1997
The Blue Moon Circus,Michael Raleigh,2004
The Aspern Papers (Dover Thrift Editions),Henry James,2001
A Bottomless Grave and Other Victorian Tales of Horror (Dover Thrift Editions),Hugh Lamb,2001
Dark Matter : The Private Life of Sir Isaac Newton: A Novel,PHILIP KERR,2003
Masters of the Macabre,Bram Stoker,1999
Chicago Off the Beaten Path 2nd: A Guide to Unique Places,Cliff Terry,2003
Alternative Chicago: Unique Destinations Beyond the Magnificent Mile,Bill Franz,2000
Deaf in America: Voices from a Culture,Carol Padden,1990
Absolution : A Novel,OLAF OLAFSSON,2003
Five Gold Rings,Constance O'Banyon,1999
The Romance of Hats,Editors of Victoria Magazine,2002
Living Alone and Loving It: A Guide to Relishing the Solo Life,Barbara Feldon,2002
Cat: Seventeenth Anniversary Edition,B. Kliban,1992
Journeys &amp; Arrivals: On Being Gay and Jewish,Lev Raphael,1996
Wyatt Earp : The Life Behind the Legend,Casey  Tefertiller,1999
Foxglove Hollow,Dennis P. Brown,1982
Motherhood Deferred: A Woman's Journey,Anne Taylor Fleming,1994
The Moonlit Road and Other Ghost and Horror Stories (Dover Thrift Editions),Ambrose Bierce,1998
Para!,Jacob van Duijn,1997
Poems and Songs (Dover Thrift Editions),Robert Burns,1991
Scotland (Cadogan guides),Richenda Miers,1987
"World War One British Poets: Brooke, Owen, Sassoon, Rosenberg, and Others (Dover Thrift Editions)",Candace Ward,1997
The Wine Avenger,Willie Gluckstern,1998
Judah P. Benjamin,Eli Evans,1989
Ana Historic,Daphne Marlatt,1997
Civil War Poetry and Prose (Dover Thrift Editions),Walt Whitman,1995
Native American Songs and Poems: An Anthology (Dover Thrift Editions),Brian Swann,1996
No fixed address: An amorous journey,Aritha Van Herk,1986
The Land of Little Rain (Dover Thrift Editions),Mary Hunter Austin,1996
ZACHARY'S WINGS: A Novel,Rosemarie Robotham,1999
New Jersey: Off the beaten path,William Scheller,1991
Kittens on Vacation,Shinjiro Sagara,1990
"Our Private Lives: Journals, Notebooks, and Diaries",Daniel Halpern,1990
Just Give Me the Damn Ball! : The Fast Times and Hard Knocks of an NFL Rookie,Keyshawn Johnson,1997
Tuning the Rig: A Journey to the Arctic,Harvey Oxenhorn,1991
Death of a Mermaid: A Callie McKinley Outer Banks Mystery,Wendy Howell Mills,2002
This Is Next Year,Philip Goldberg,1992
A Celtic Miscellany: Translations from the Celtic Literatures (Penguin Classics),Kenneth Hurlstone Jackson,1972
Out of This World,Graham Swift,1988
Second Wind (Random House Large Print),Dick Francis,1999
Fire on the Mountain : The True Story of the South Canyon Fire,John N. Maclean,2000
Make Every Minute Count: 750 Tips and Strategies to Revolutionize How You Manage Your Time,Harlan L. Lane,2000
Dream of Orchids,Phyllis A. Whitney,1985
"O' New Jersey: Day Tripping, Back Roads, Eateries and Funky Adventures",Robert Heide,1992
"The Rummager's Handbook: Finding, Buying, Cleaning, Fixing, Using, and Selling Secondhand Treasures",R. S. McClurg,1995
Simple Acts of Kindness: Simple Inspiration &amp; Ideas to Bring Delight &amp; Goodness to Others,Ray Alonzo,1997
Prisoners of Hope: Exploiting the Pow/Mia Myth in America,Susan Katz Keating,1994
Between Parent and Teenager,Haim G. Ginott,1988
Great Speeches by Native Americans (Dover Thrift Editions),Bob Blaisdell,2000
Haunted Heartland,Beth Scott,1986
The Ultimate New York City Trivia Book,Hy Brett,1997
Everybody Was So Young: Gerald and Sara Murphy - A Lost Generation Love Story,Amanda Vaill,1998
Mangia: The Best Italian Food in New York City,Jack Robertiello,2001
Passport to New York Restaurants 2001,Peter D. Meltzer,2000
Death of a Village,M. C. Beaton,2003
Winter Adventure: A Complete Guide to Winter Sports (A Trailside Guide Series),Peter Stark,1996
The Stupid Crook Book,Leland Gregory,2002
Pro Football: Four Decades of Sports Illustrated's Finest Writing on America's Most Popular Sport (Collector's Library),Sports Illustrated,1993
The Five Foot Road: In Search of a Vanished China,Angus McDonald,1996
Growing Up: A Classic American Childhood,Marilyn Vos Savant,2002
Reading Water: Lessons from the River (Capital Discoveries (Hardcover)),Rebecca Lawton,2002
Manhattan on Film 2: More Walking Tours of Location Sites in the Big Apple,Chuck Katz,2002
Elf Night (Picture Books),Jan Wahl,2002
C Is for Coyote : A Southwest Alphabet Book,Andrea Helman,2002
Wisconsin (Hello USA),Gretchen Bratvold,1991
The Celts (Penguin History),Nora Chadwick,1998
"The Secret War Against Hanoi : The Untold Story of Spies, Saboteurs, and Covert Warriors in North Vietnam",Richard H. Shultz Jr.,2000
Inagua: An Island Sojourn,Gilbert Klingel,1997
My Golden Road from Samarkand,Jascha Golowanjuk,1993
The Living and the Dead: Robert McNamara and Five Lives of a Lost War,Paul Hendrickson,1996
On Point,Roger Hayes,2001
A Pow's Story: 2801 Days in Hanoi,Larry Guarino,1990
The Dons and Mr Dickens: The Strange Case of the Oxford Christmas Plot,William J. Palmer,2000
Gilded City: Scandal and Sensation in Turn of the Century New York,M. H. Dunlop,2000
Never Forget a Name or Face,Dominic O'Brien,2002
Make Gentle the Life of This World: The Vision of Robert F. Kennedy,Maxwell Taylor Kennedy,1998
Small Town,Sloan Wilson,1978
Voices From September 11th,Lavonne Mueller,2002
One Last Shot: The Story of Michael Jordan's Comeback,Mitchell Krugel,2002
"My America: What My Country Means to Me, by 150 Americans from All Walks of Life",Hugh Downs,2002
Temptation,Cynthia Blair,1994
Name Dropping: Tales from My Barbary Coast Saloon,Barnaby Conrad,1994
"Thank You, Teacher : Letters Celebrating Extraordinary Teachers",Michael Eisner,2000
Orphan Trains: The Story of Charles Loring Brace and the Children He Saved and Failed,Stephen O'Connor,2001
The Mother Hunt,Rex Stout,1963
Murder on the Mauretania : A Mystery Featuring George Porter Dillman and Genevieve Masefield (A Mystery Featuring George Porter Dillman &amp; Genevieve Masefield),Conrad Allen,2002
It's Only a Game,Terry Bradshaw,2002
"Cakes and Ale,the Painted Veil,Liza of Lambeth,Razor's Edge,Theatre,Moon and Sixpence",W Somerset Maugham,0
Marching to Valhalla: A Novel of Custer's Last Days,Michael Blake,1997
"Faces of Hope, Babies Born on 9/11",Christine Naman,2002
Ruckkehr nach Irland,Maeve Binchy,2001
Lady Be Good: Mystery Bomber of World War II,Dennis E. McClendon,1982
Steal Away,Jennifer Armstrong,1993
Side Tracked Home Executives,Pam Young,1983
First Loves : Poets Introduce the Essential Poems That Captivated and Inspired Them,Carmela Ciuraru,2001
The Twylight Tower,Karen Harper,2002
How to Eat Like a Child : And Other Lessons in Not Being a Grown-up,Delia Ephron,2001
The Horizontal Everest: A Memoir of an Obsession with Ellesmere Island,Jerry Kobalenko,2002
Don't Know Much About the Universe: Everything You Need to Know About the Cosmos but Never Learned,Kenneth C. Davis,2001
Learning to Walk by Grace,Swindell,1985
In Love With Night: The American Romance With Robert Kennedy,Ronald Steel,2001
Cooks Overboard (Angie Amalfi Mysteries),Joanne Pence,1998
Island,Neal Travis,1986
Gobi: Tracking the Desert,John Man,1999
The Psalms: Ancient Poetry of the Spirit (The Classic Bible Series),Lawrence Boadt,1999
John McCain : An American Odyssey,Robert Timberg,1999
Roman Fever and Other Stories,Edith Wharton,1981
"Alice's Adventures in Wonderland ; And, Through the Looking-Glass and What Alice Found There (The World's Classics)",Lewis Carroll,1983
The First World War,John Keegan,2000
Far Cry from Kensington,Muriel Spark,1989
My New School (Afro Girl),Pamela Anderson,2003
The Whole Truth,Anthony Robinson,1992
Spiritwalker: Messages from the Future,Henry Barnard Wesselman,1996
Daddy,Loup Durand,1988
Surviving the Applewhites,Stephanie S. Tolan,2002
Still Woman Enough,Loretta Lynn,2003
What Every Mother Needs to Know,Brenda Hunter,1993
Elementarteilchen.,Michel Houellebecq,2001
"Nutrition, concepts and controversies",Eva May Nunnelley Hamilton,1979
True Heart,Marissa Moss,1999
One of the family: Telling the story of a violent childhood and the healing beyond (UQP nonfiction),Pearlie McNeill,1990
On Mermaid Avenue,Binnie Kirshenbaum,1994
To the Sacred Ruins,K.J. Stavrinides,1992
Bookstore: The Life and Times of Jeannette Watson and Books &amp; Co.,Lynne Tillman,1999
Indigo Dying,Susan Wittig Albert,2004
Queen Bee of Mimosa Branch: A Novel,Haywood Smith,2002
"Dick Francis Omnibus: Enquiry, Rat Race, Smokescreen",Francis Dick,2000
Black and Blue Magic,Zilpha Keatley Snyder,1994
The Last Wild Edge: One Woman's Journey from the Arctic Circle to the Olympic Rain Forest,Susan Zwinger,1999
Die Rร?ยคtsel von Badger's Drift.,Caroline Graham,2000
Gertrude and Alice,Diana Souhami,1992
The Secret Life of Plants,Peter Tompkins,1973
Here's to the Newly Deads,B. J. Oliphant,1997
The Spy Who Came In from the Cold,John le Carre,2001
The Paper Wife,Linda Spalding,1997
Recovering from the Loss of a Parent,Katherine Fair Donnelly,1993
Back to the Moon: A Novel,Homer Hickam,1999
Horse Heaven,Jane Smiley,2000
The Unholy Trinity,Paul Adam,2000
The Complete Idiot's Guide to Understanding Judaism,Benjamin Blech,1999
HARMFUL INTENT : A NOVEL,Baine Kerr,1999
Serial Killers (True Crime),Time-Life Books,1992
"Portland Best Places: The Most Discriminating Guide to Portland's Restaurants, Lodgings, Shopping, Nightlife, Arts, Sights, and Outings (Best Places Portland)",Kim Carlson,1995
"Love, Loss, and What I Wore: My Life in Fashion",Ilene Beckerman,1995
"The Sun, the Moon, and the Stars",Steven Brust,1988
Pop Goes the Weasel: A Novel,James Patterson,2000
The Voyages of Doctor Dolittle,Hugh Lofting,1991
Dogs Don't Bite When a Growl Will Do: What Your Dog Can Teach You About Living a Happy Life,Matt Weinstein,2003
Small Change,Elizabeth Hay,1997
Return of the Wild: The Future of Our Natural Lands,Ted Kerasote,2001
The Living Dock,Walter Inglis Anderson,1988
TRUE STATE OF THE PLANET,Ronald Bailey,1995
Angels and Demons,Dan Brown,2003
Winds in the woods: The story of John Muir,John Stewart,1975
Dogs That Know When Their Owners Are Coming Home: And Other Unexplained Powers of Animals,Rupert Sheldrake,2000
Foul Play,June Thomson,1992
Catch the magpie,Cristina Pisco,1999
House of Sleep,Jonathan Coe,0
"Lighten Up, George",Art Buchwald,1991
Maigrets erste Untersuchung. Roman,Georges Simenon,2003
The Lord God Made Them All,James Herriot,1981
Shadow World,Brad Steiger,2000
Trร?ยคnen sind immer das Ende. Roman.,Akif Pirincci,1980
"Love, Daddy : The True Story of Accused Con Man and Family Killer Christian Longo (St. Martin's True Crime Library.)",Carlton Smith,2003
Strong for Potatoes,Cynthia Thayer,1998
The Book of Joe,JONATHAN TROPPER,2004
The Mismeasure of Man,Stephen Jay Gould,1996
"Tallulah, Darling: A Biography of Tallulah Bankhead",Denis Brian,1980
Southern Daughter: The Life of Margaret Mitchell,Darden Asbury Pyron,1992
Blue Angel Days,James Jennings,1989
The practice of writing,Robert E Scholes,1985
Unholy Matrimony: A True Story of Murder and Obsession,John Dillman,1988
The Doctor's Sweetheart and Other Stories,L. M. Montgomery,1993
The Wild Girls Club: Tales from Below the Belt,Anka Radakovich,1995
Bouquet De Provence: Seasonal Recipes from L'Oustau De Baumaniere,Jean-Andre Charial-Thuilier,1990
"Cracked Classics: What a Trip! - Book #3 : Around the World in Eighty Days (Cracked Classics, 3)",Tony Abbott,2002
Creating Web Pages with HTML (Cliffs Notes),David A. Crowder,1999
A Week in the Woods,Andrew Clements,2002
"The Illusion (Animorphs, 33)",K. A. Applegate,1999
The School Story,Andrew Clements,2002
Confessions of an Organized Homemaker: The Secrets of Uncluttering Your Home and Taking Control of Your Life,Deniece Schofield,1994
Diez negritos,Agatha Christie,1983
I Was Howard Hughes : A Novel,Steven Carter,2003
The Night Manager,John Le Carre,1993
Zero Option,Peter T. Deutermann,1999
War Bonnet (Signet Historical Fiction),Don Bendell,2000
Screenplay: The Foundations of Screenwriting,Syd Field,1984
Writing Toward Home : Tales and Lessons to Find Your Way,Georgia Heard,1995
A Navpress Bible Study on the Book of Hebrews (LifeChange),Nav Press,1995
Evelina: Or the History of a Young Lady's Entrance into the World (Penguin Classics),Fanny Burney,1994
Educating Rita (Longman Literature),Willy Russell,1993
Baedeker France,Baedeker,1981
Boatless in Seattle: Getting on the Water in Western Washington Without Owning a Boat,Sue Muller Hacking,1999
Everything your doctor would tell you if he had the time,Claire Rayner,1980
The Search for Messiah: Discovering the Identity of the True Messiah!,Chuck Smith,1996
"Water's Edge: Women Who Push the Limits in Rowing, Kayaking &amp; Canoeing",Linda Lewis,1992
The Pied Piper,Ridley Pearson,1998
Lonely Planet Alaska (5th ed),Jim Dufresne,1997
The Return of the Gods: Evidence of Extraterrestrial Visitations,Erich von Daniken,2002
"Time of the Twins (Dragonlance Legends, Vol. 1)",Margaret Weis,2001
A View from the Roof: Stories,Helen Weinzweig,1989
Demon,John Varley,1985
Titan,John Varley,1984
Mouse Tales: A Behind-The-Ears Look at Disneyland,David Koenig,1995
"Inner Revolution: Life, Liberty, and the Pursuit of Real Happiness",Robert Thurman,1999
The Big Bounce,Elmore Leonard,2000
This Boy's Life: A Memoir,Tobias Wolff,2000
Otherland: City Of Golden Shadow,Tad Williams,1996
Hidden Echoes,Mike Jefferies,1993
The Moon Is a Harsh Mistress,Robert A. Heinlein,1996
Walking Out on the Boys,Frances K. Conley,1999
Arctic Adventures: Exploring Canada's North by Canoe and Dog Team (Arctic Adventures),Ian Wilson,1989
The Cooperative Sports and Games Book: Challenge Without Competition,Terry Orlick,1978
Foxfire 2 (Foxfire (Paperback)),ELIOT WIGGINTON,1973
Who Do You Love: Stories,Jean Thompson,1999
Sweeter Than All the World,Rudy Wiebe,2002
Hot Lemon and Honey: Reflections for Success in Times of Change,Catherine DeVrye,2000
"Porcupines, Politicians and Plato",Dan Kishkan,1994
Casi una mujer,Esmeralda Santiago,1999
Mission from Mount Yoda (Star Wars (Random House Paperback)),Paul Davids,1993
Amazing Mazes,Ken Save,2001
Mail Order Moonlighting,Cecil C. Hoge,1988
Handmade Gifts Under $10 (Clever Crafter Series),Anne Van Wagner Childs,1998
Great Australian women,Susanna De Vries,2001
Buy Your First Home! 2E,Robert Irwin,2000
Colin,E.F. Benson,1994
Decorating for Good : A Step-by-Step Guide to Rearranging What You Already Own,CAROLE TALBOTT,1999
Elegant and Easy Rooms : 250 Trade Secrets for Decorating Your Home,DYLAN LANDIS,1997
More Die of Heartbreak,Saul Bellow,1987
Complete Wedding Planner: Helpful Choices for the Bride and Groom,Edith Gilbert,1991
The Judgment (Judgement),William J Coughlin,1999
WIFEY,Judy Blume,1983
Everyman (Dover Thrift Editions),James Jennings,1995
Die Netzflickerin.,Maarten 't Hart,2000
"After Apocalypse: Four Japanese Plays of Hiroshima and Nagasaki (Cornell University East Asia Series, No 71)",David G. Goodman,1994
"Chile: An attempt at \historic compromise\"" : the real story of the Allende years""",Jorge Palacios,1979
Women in Sub-Saharan Africa : Restoring Women to History (Restoring Women to History),Iris Berger,1999
"How Fascism Ruled Women: Italy, 1922-1945 (A Centennial Book)",Victoria De Grazia,1993
My Husband Said He Needed More Space So I Locked Him Outside : Reflections on Life by Women,Cynthia Walker Mccullough,1998
The Beautiful Mrs. Seidenman (Vintage International),Andrzej Szczypiorski,1991
Heartland,Diane Siebert,1989
The Riddle of Gravitation,Peter G. Bergmann,1993
David Copperfield (Penguin Popular Classics),Charles Dickens,1994
For the Love of Pete: A Novel,Jan Marino,1993
Mount Dragon: A Novel,Douglas Preston,1996
Trick of Light,David Hunt,1999
A Man Named Dave (Wheeler Large Print Press (large print paper)),Dave Pelzer,2001
"Country of My Skull: Guilt, Sorrow, and the Limits of Forgiveness in the New South Africa",Antjie Krog,2000
Jesus Lives in Trenton: A Novel,Christopher Klim,2002
Defense For The Devil (Barbara Holloway Novels (Paperback)),Kate Wilhelm,2000
Narcolepsy: A Funny Disorder That's No Laughing Matter,Marguerite J. Utley,1995
"Home Health Sanctuary: Weekend Plans to Detox, Relax and Energize (Hamlyn Health &amp; Well Being)",Anna Selby,2001
Man soll den Mann nicht vor dem Morgen loben.,Ines Wandersleb,2001
Professional Cooking,Wayne Gisslen,1999
Professional Baking,Wayne  Gisslen,2000
Emma.,Jane Austen,2003
The Hornes: An American Family,Gail Lumet Buckley,1987
The Duchess,Bertrice Small,2001
Shadowgraphs Anyone Can Make,Phila H. Webb,1991
Sophie's Lucky (Sophie Books),Dick King-Smith,1999
How to Be More Creative,David D. Edwards,1980
Spiritual Depression: Its Causes and Cure,David Martyn Lloyd-Jones,1965
"A Family Tree, Taking Root",Doc Robertson,2001
Maximum Bob,Elmore Leonard,1991
The Thor Conspiracy: The Seventy-Hour Countdown to Disaster,Larry Burkett,1995
The Stations of Still Creek,Barbara J. Scot,1999
Country Afghans: The Vanessa-Ann Collection,Vanessa-Anne Collection,1994
The Last Train Home,Wayne Bryant,2002
Exegesis (Vintage Contemporaries),Astro Teller,1997
Raney,Clyde Edgerton,1992
The Ministry of Fear,Graham Greene,1970
How to Win Money at the Races,Nate Perlmutter,1979
Chuck Berry: The Autobiography,Chuck Berry,1988
John Hammond on Record: An Autobiography,John Hammond,1981
Jump,Mike Lupica,1996
Dead,James Joyce,1995
Crashlander,Larry Niven,1994
Laughing in the hills,Bill Barich,1981
When the Fat Man Sings,Bill Murray,1988
Disney's Winnie the Pooh : A Celebration of the Silly Old Bear (Welcome Book (Paperback)),Christopher Finch,2002
Bloodfire,John Lutz,1992
Wild Meat and the Bully Burgers,Lois-Ann Yamanaka,1996
Killer Diller,Clyde Edgerton,1992
My First Presidentiary : A Scrapbook by George W. Bush,Modern Humorist,2001
Cold Fall,John E. Gardner,1997
"Making More Plants: The Science, Art, and Joy of Propagation",Ken Druse,2000
Looking For Mo,Daniel Duane,1999
The Notebooks of Don Rigoberto,Mario Vargas Llosa,1998
A Bell Ringing in the Empty Sky: The Best of the Sun (Bell Ringing in the Empty Sky),Sy Safransky,1985
Confessions of a Medical Heretic,Robert  Mendelsohn,1990
The Machine Crusade (Dune Series),Brian Herbert,2003
Alien Encounters,Chuck Missler,1997
Tales from Planet Earth (Bantam Spectra Book),Arthur C. Clarke,1990
Arthur C. Clarke's Venus Prime 4: The Medusa Encounter,Paul Preuss,2001
The Fool's Journey: A Romance,Lynn Miller,2002
Escape from Laos,Dieter Dengler,1982
Wildwood Boys: A Novel,James Carlos Blake,2000
The House on Hound Hill,Maggie Prince,1998
The impossible ride: The first bicycle ride across the Amazon jungle,Louise Sutherland,1990
"\Living Fire\"" and Other Science Fiction Stories""",N. Fisk,1987
Pilgrim's Progress,John Bunyan,1979
Dragondrums,Anne McCaffrey,1979
TASSAJARA BREAD BOOK,EDWARD ESPE BROWN,1977
Do Cats Think?: Notes of a Cat-Watcher,Paul Corey,1991
A Hotel Is a Place ...,Shelley Berman,1972
Poetry Markets for Canadians,James Deahl,1992
The Courage to Heal Workbook : A Guide for Women Survivors of Child Sexual Abuse,Laura Davis,1990
El Pelo De Van Hoff,Unai Elorriaga,2004
Guide to Personal Happiness,Albert Ellis,1983
"About Men &amp; Women: How Your \Great Story\"" Shapes Your Destiny""",Tad Guzie,1986
Angry? Do You Mind If I Scream: How to Handle Your Anger,Devon Weber,1991
Weirdos From Another Planet Calvin and Hob,Bill Watterson,1990
Throne of Gold: The Lives of the Aga Khans,Anne Edwards,1996
Once Upon a Time: Behind the Fairy Tale of Princess Grace and Prince Rainier,J. Randy Taraborrelli,2003
Feeling Good: The New Mood Therapy,David D. Burns,1981
Julie of the Wolves (Trophy Newbery),Jean Craighead George,1996
Java Programming Basics,Edith Au,1996
Love Medicine,Louise Erdrich,1993
CATCH ME YOU CAN,Frank W. Abagnale,1982
Human Knowledge: Classical and Contemporary Approaches,Paul K. Moser,1995
Once upon a Time: A Treasury of Modern Fairy Tales,Lester Del Rey,1991
The Anna Papers: A Novel,Ellen Gilchrist,1988
"Easy Beans: Fast and Delicious Bean, Pea, and Lentil Recipes",Trish Ross,1996
A Trap for Fools (Kate Fansler Novels (Paperback)),AMANDA CROSS,1990
Biological Psychology,James W. Kalat,1997
The Atlas of the Ancient World: Charting the Great Civilizations of the Past,Margaret Oliphant,1992
Trail from Taos (The Spanish Bit Saga Book 14),Don Coldsmith,1990
Summer North of Sixty,Raffan,1990
Grumbles from the Grave,Robert A. Heinlein,1989
Isaac Newton,JAMES GLEICK,2003
Hearts of flame,Katherine Govier,1991
The Year of the Lucy,Anne McCaffrey,1986
Wildest Dreams,Jennifer Blake,1992
The Synthetic Beast,Andy Turnbull,2002
"Edgar Rice Burroughs Science Fiction Classics: Pellucidar, Thuvia Maid of Mars, Tanar of Pellucidar, the Chessman of Mars, the Master Mind of Mars",Edgar Rice Burroughs,1992
King's Oak,Anne Rivers Siddons,1990
"Atlas of British Columbia: People, Environment, and Resource Use",A.L. Farley,1993
Universe,William J. Kaufmann,1999
"The Dynamic Earth: An Introduction to Physical Geology, 3rd Edition",Brian J. Skinner,1995
Internet Security for Your Macintosh,Alan B. Oppenheimer,2001
Tao Te Ching,Lao Tsu,1997
MacBeth,William Shakespeare,1990
The Gadget Guru's Make-It-Easy Guide to Home Repair,Andy Pargh,1997
Tenant of Wildfell Hall (Wordsworth Classics),Anne Bronte,1999
Sunshine Rider: The First Vegetarian Western (Laurel-Leaf Books),Ric Lynden Hardman,1999
The Book of Knots and Ropework: Practical and Decorative,Eric C. Fry,1982
The Home Storage Checklist,Allen K. LeClaire,1996
Egotists and autocrats: The prime ministers of Canada,George Bowering,1999
The Campaign: A Novel,Marilyn Tucker Quayle,1996
The Drowning Room,Michael Pye,1996
The Anchor Essay Annual : The Best of 1997,PHILLIP LOPATE,1997
Remember the Morning,Thomas Fleming,1997
Jane Eyre (Oxford World's Classics),Charlotte Bronte,2001
Buffalo Gordon: The Extraordinary Life and Times of Nate Gordon from Louisiana Slave to Buffalo Soldier,J. P. Sinclair Lewis,2001
"Chinqua Where? The Spirit of Rural America, 1947-1955",Fred B. McKinley,2003
The Guns of Billy Free,Doug Bowman,1998
Lurvy: A Farmer's Almanac,Hal Niedzviecki,1999
Soon to be a major motion picture: A novel,Warren Dunford,1998
The Crater,Richard Slotkin,1996
Medicine Wheel,Les Savage,1998
The Pitchfork Patrol,Will Henry,2000
The Snowblind Moon,John Byrne Cooke,1985
"Vengeance Trail (Wildgun, 2)",Jack Hanson,2000
Nights in White Satin,Michelle Spring,2000
Mister St. John,Loren D. Estleman,1999
The Road Show: Spangle #1,Gary Jennings,1999
West of the River,Jack Ballas,2001
El Paso,Matthew Braun,1999
Primeval Fear: The Elements of Classic Horror,Christopher Treagus,2001
Captains Courageous,Rudyard Kipling,1985
The Hunting Sorrow,Christopher Treagus,2001
Ivanhoe (Wordsworth Collection),"Walter, Sir Scott",1998
"A Doll's House, The Lady from the Sea, and The Wild Duck (Everyman",Henrik Johan Ibsen,1993
"Rosa (Sun &amp; Moon Classics Series, No 102)",Knut Hamsun,1997
"Blood Trail (Wildgun, 4)",Jack Hanson,2000
"Samson Agonistes, and Shorter Poems (Crofts Classics)",John Milton,1987
Cooking for Today: Vegetarian Main Meals,Kathryn Hawkins,0
Beginning Runner's Handbook: The Proven 13-Week Walk Run Program,Ian Macneill,1999
Ewan McGregor: An Illustrated Story,David Bassom,1999
Wings of the Hawk (Hawk),Charles G. West,2000
"TRICK OF THE TRADE (Jeston Nash Series , No 6)",Ralph W. Cotton,1997
The Buckskin Line (Texas Rangers),Elmer Kelton,2000
The Rough Rider,Jack Cummings,1991
The Baron Range,Jory Sherman,1999
Vertigo: A Memoir,Louise Desalvo,1996
The Valley of the Dolls,Jacqueline Susann,1981
HEATHCLIFF: THE RETURN TO WUTHERING HEIGHTS,Lin Haire-Sargeant,1993
Das Mร?ยคdchen. (Schwarzer Umschlag).,Stephen King,2001
TWICE IN TIME,Manly Wade Wellman,1988
Mommie Dearest,Christina Crawford,1981
"Who's Mandie? (Young Mandie Mystery, No 1)",Lois Gladys Leppard,1999
Conversations avec Dieu,Neale Donald Walsch,2001
Omnibus Fiction: Maeve Binchey,Maeve Binchey,1994
Dragon Blood,Patricia Briggs,2003
Under Western Eyes (Twentieth Century Classics S.),Joseph Conrad,1990
The Mountain and the Valley (New Canadian Library),Buckler,1961
